acct_id,invoice_balance,total_bought,total_paid,total_owed,ticket_bought,ticket_paid,ticket_owed,sc_bought,sc_paid,sc_owed,donations_pledged,donations_received,donations_owed,on_account_payments,other,charge_back_count,charge_back_amount,acct_type_desc,tag
143466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143537,0,23384.6,23334.6,50,23319.6,23319.6,0,65,15,50,0,0,0,0,0,0,0,Personal,
143544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143552,0,15,2515,-2500,0,2500,-2500,15,15,0,0,0,0,0,0,0,0,Personal,
143560,1000,6839.55,9795.6,-2956.05,6600.6,9100.6,-2500,238.95,238.95,0,0,0,0,0,0,0,0,Personal,
143578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143586,300,24335.2,24035.2,300,24335.2,24035.2,300,0,0,0,0,0,0,0,0,0,0,Personal,
143597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143628,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
143636,500,11382.8,11382.8,0,11380.3,11380.3,0,2.5,2.5,0,0,0,0,0,0,0,0,Personal,
143644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143677,2469.5,10602.8,16633.3,-6030.5,10600.3,16633.3,-6033,2.5,0,2.5,0,0,0,0,0,0,0,Personal,
143688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143743,0,268.57,2268.57,-2000,0,2000,-2000,268.57,268.57,0,0,0,0,0,0,0,0,Personal,
143750,5,8507.6,8502.6,5,8492.6,8492.6,0,15,10,5,0,0,0,0,0,0,0,Personal,
143768,21305,50510.6,30005.6,20505,50500.6,30000.6,20500,10,5,5,0,0,0,0,0,0,0,Personal,
143776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143784,0,440,447.5,-7.5,371.83,371.83,0,68.17,68.17,0,0,0,0,0,0,0,0,Personal,
143792,8072,22336.1,17164.1,5172,22331.1,17164.1,5167,5,0,5,0,0,0,0,0,0,0,Personal,
143800,4.34,145,140.66,4.34,22.99,22.99,0,122.01,117.67,4.34,0,0,0,0,0,0,0,Personal,
143810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143834,0,208.08,215,-6.92,7.84,7.84,0,200.24,200.24,0,0,0,0,0,0,0,0,Personal,
143842,1000,15749.6,21749.6,-6000,15739.6,15739.6,0,10,10,0,0,0,0,6000,0,0,0,Personal,
